product_id,product_name,jumlah_hari_transaksi,total_unit_terjual,rata2_per_transaksi
SPG001,SPAGETTI,1,8.0,8.0
TSM01,TISU MINI,1,8.0,8.0
TSP001,Tisu Peony,1,8.0,8.0
CS001,CUSSION BABY,1,7.0,7.0
ENG001,ENERGEN,1,7.0,7.0
GRT001,GERIT,1,7.0,7.0
HSC001,HARMONY CAIR,1,7.0,7.0
MCN004,MICIN 2000,1,7.0,7.0
SS001,SABUN SAYANG,1,7.0,7.0
BRT01,Beras tinta,1,6.0,6.0
CS001,Cussion baby,1,6.0,6.0
GG02,GENTLEGEN 10,1,6.0,6.0
JL103,Jelly Inaco 1kg,1,6.0,6.0
KDM001,KALDU MILI,1,6.0,6.0
MZ001,MINYAK RIZKY,1,6.0,6.0
TJ001,TISU JOLLY,1,6.0,6.0
TTS001,Tingting Snack,1,6.0,6.0
FM001,FANCY MINERAL,1,5.0,5.0
GM001,GULA MERAH 1/4,1,5.0,5.0
INF001,Indofood sambal,1,5.0,5.0
INS001,INDOSARI,1,5.0,5.0
SPL001,Siiplah,1,5.0,5.0
SS001,sabun sayang,1,5.0,5.0
STL001,Stella,1,5.0,5.0
TSY001,TISU PASCOY,1,5.0,5.0
BSPHP01,BERAS SPHP,1,4.0,4.0
BYG001,BAYGON CAIR,1,4.0,4.0
HSC001,Harmony cair,1,4.0,4.0
KKG001,Kue kacang,1,4.0,4.0
KPG001,Keripik pisang,1,4.0,4.0
KPP03,Kerupuk puli 1/4,1,4.0,4.0
SPG001,Spagetti,1,4.0,4.0
SPL001,SIIPLAH,1,4.0,4.0
TTL001,TEPUNG TULIP,1,4.0,4.0
BLB001,Blue bAND,1,3.0,3.0
BLJ04,Belinjo remah 1kg,1,3.0,3.0
CLU001,Close up,1,3.0,3.0
DSO001,Desaku Opor,1,3.0,3.0
GS001,GEM SNACK,1,3.0,3.0
INF001,INDOFOOD SAMBAL,1,3.0,3.0
KSP001,KISPRAY,1,3.0,3.0
KUS03,Keripik usus 1bal,1,3.0,3.0
RMB001,RAMBAK,1,3.0,3.0
SB001,Stik bawang,1,3.0,3.0
SG001,Sagon,1,3.0,3.0
BLJ04,BELINJO REMAH 1KG,1,2.0,2.0
BYG001,Baygon cair,1,2.0,2.0
CKS001,Chokky stick,1,2.0,2.0
HPD001,Happydent,1,2.0,2.0
KCP001,KACANG PEYEK,1,2.0,2.0
KPT03,K. tongkol 1/2,1,2.0,2.0
KSM001,Samiler 1kg,1,2.0,2.0
KSM02,SAMILER 1/2,1,2.0,2.0
KUS001,Keripik USUS 1/2,1,2.0,2.0
QTL001,Qtela,1,2.0,2.0
SB001,STIK BAWANG,1,2.0,2.0
SC002,SOKLIN CAIR GEN,1,2.0,2.0
SC002,Soklin cair gen,1,2.0,2.0
SG001,SAGON,1,2.0,2.0
BLJ01,Belinjo 1kg,1,1.0,1.0
BLJ02,Belinjo 1/2,1,1.0,1.0
BRW001,Bumbu Rawon,1,1.0,1.0
CBB001,COKLAT BOX BESAR,1,1.0,1.0
KDM001,Kaldu mili,1,1.0,1.0
KPT001,K. TONGKOL 1BAL,1,1.0,1.0
KUS02,Keripik usus 1kg,1,1.0,1.0
SCK001,SUS COKLAT 1KG,1,1.0,1.0
